融资时间,项目名称,所属行业,项目地点,融资轮次,投资金额/万RMB,投资方1,投资方2,投资方3,投资方4,投资方5
2016.6.2,IceKredit冰鉴科技,金融,上海,Pre-A轮,2000万人民币,投资方未透露,,,,
2016.6.2,彩虹无线,汽车交通,北京,A+轮,数千万人民币,中南茂创投资,西藏融众投资,西征创新投资,,
2016.6.2,苏宁云商,电子商务,江苏,IPO上市后,282.33亿人民币,阿里巴巴,,,,
2016.6.2,有可能学院,教育,北京,种子轮,未透露,投资方未透露,,,,
2016.6.2,互联星梦,游戏,北京,天使轮,800万人民币,达晨创投,掌趣创享基金,,,
2016.6.2,强森医疗,医疗健康,陕西,A轮,数千万人民币,君联资本,德晖资本,,,
2016.6.2,UG优极体育用品,体育运动,北京,天使轮,598万人民币,险峰长青(险峰华兴),真格基金,,,
2016.6.2,肆客足球(肆客体育),体育运动,北京,Pre-A轮,5000万人民币,EMC媒体基金,飞马基金-飞马旅,真格基金,源渡创投,长石资本
2016.6.2,Ablecloud智云奇点科技,硬件,北京,A+轮,数千万人民币,金沙江创投,,,,
2016.6.2,锋时互动(微动Vidoo),硬件,北京,A轮,数千万人民币,上汽创投,如山创投,,,
2016.6.2,三维云,硬件,福建,天使轮,600万人民币,拉隆基金,,,,
2016.6.2,影大人,金融,北京,天使轮,200万人民币,创梦创投,,,,
2016.6.2,任游网-果范创想,旅游,四川,A轮,1500万人民币,联想创投集团(乐基金),知初资本,,,
2016.6.2,四合传媒,广告营销,福建,A轮,5000万人民币,红移投资,,,,
2016.6.2,传世科技,体育运动,黑龙江,天使轮,500万人民币,科力投资,哈尔滨创新投资,哈尔滨工业大学创新创业园,,
2016.6.2,轻松筹,金融,北京,B+轮,2000万美元,腾讯,IDG资本,德同资本,同道资本,
2016.6.2,易途8(易途吧),旅游,浙江,A+轮,2153万人民币,顺融资本,悦途资本,,,
2016.6.2,uSens凌感科技,硬件,北京,A轮,2000万美元,复星昆仲,晨兴资本,麦星投资,达晨创投,东方富海
2016.6.1,有菜,本地生活,北京,战略投资,数百万人民币,星火众筹,领创金融,,,
2016.6.1,小马快租,房产服务,广东,种子轮,300万人民币,投资方未透露,,,,
2016.6.1,证优客,企业服务,浙江,天使轮,数百万人民币,银杏谷资本,如山资本,,,
2016.6.1,去耍网,本地生活,北京,天使轮,440万人民币,投资方未透露,,,,
2016.6.1,LOCKet,企业服务,浙江,Pre-A轮,数千万人民币,星沅资本(星沅创投),,,,
2016.6.1,准食到,本地生活,云南,天使轮,100万人民币,投资方未透露,,,,
2016.6.1,合盘贷(合盘金融),金融,上海,A轮,6600万人民币,众诚资本,,,,
2016.6.1,盈创上门回收帮到家,本地生活,北京,A轮,1500万美元,富兰克林邓普顿Franklin Templeton,,,,
2016.6.1,嘀嘀虎(广联赛讯),汽车交通,广东,A轮,1.5亿人民币,投资方未透露,,,,
2016.6.1,中译语通,企业服务,北京,B轮,2.5亿人民币,海通创意资本,中国图书进出口(集团)总公司,上海新华发行集团有限公司,智德投资,朝乾投资
2016.6.1,即有分期(达飞金融),金融,广东,B轮,亿元及以上人民币,安赐资本,,,,
2016.6.1,选师无忧,教育,广东,A轮,6000万人民币,金葵花资本,,,,
2016.6.1,聚橙网,文化娱乐,广东,F轮-上市前,亿元及以上人民币,海通开元,九弦资本,建发股份,温氏投资,
2016.6.1,Blued淡蓝网,社交网络,北京,C轮,亿元及以上人民币,嘉御基金,银泰资本Ventech,贝塔斯曼亚洲投资基金,DCM中国,中手游
2016.6.1,轻松学车,汽车交通,广东,种子轮,200万人民币,中资融投基金,,,,
2016.5.31,熊猫口袋,电子商务,北京,天使轮,数百万人民币,投资方未透露,,,,
2016.5.31,拍拍酱,电子商务,北京,天使轮,数百万人民币,真格基金,光源资本,BitFund.PE比特基金李笑来,,
2016.5.31,百年英才(高考管家),教育,北京,A轮,数千万人民币,投资方未透露,,,,
2016.5.31,今日排行榜,文化娱乐,北京,A轮,数千万人民币,投资方未透露,,,,
2016.5.31,Knowall云计算平台,企业服务,江苏,A轮,200万美元,AGEDIG,,,,
2016.5.31,法帮帮,企业服务,北京,天使轮,未透露,华澍资本,,,,
2016.5.31,咕咚网,医疗健康,四川,C轮,5000万美元,分众方源体育基金,软银中国,SIG海纳亚洲,,
2016.5.31,桃桃喜,文化娱乐,北京,天使轮,数百万人民币,考拉产业基金(拉卡拉),,,,
2016.5.31,货拉拉,物流,广东,A+轮,1000万美元,MindWorks Ventures概念资本,Crystal Stream清流资本,appWorks之初创投,Asia Plus,
2016.5.31,我是车主,汽车交通,广东,天使轮,数百万人民币,创新谷Innovalley,,,,
2016.5.31,优麦医生,医疗健康,上海,A轮,数千万人民币,投资方未透露,,,,
2016.5.31,甘草医生,医疗健康,浙江,A轮,数千万人民币,岩木草投资,鼎尼投资,,,
2016.5.31,猿题库,教育,北京,D轮,4000万美元,腾讯,,,,
2016.5.30,EC营客通(六度人和),企业服务,广东,C轮,1.7亿人民币,麦达数字,,,,
2016.5.30,淘当铺,金融,北京,C轮,数千万美元,京东,,,,
2016.5.30,清能德创,企业服务,北京,天使轮,数百万人民币,启迪创投,西藏华霖创投,,,
2016.5.30,智慧豆,硬件,北京,A轮,数千万人民币,投资方未透露,,,,
2016.5.30,魔秀科技,工具软件,北京,新三板,未透露,投资方未透露,,,,
2016.5.30,速途网,文化娱乐,北京,新三板,未透露,投资方未透露,,,,
2016.5.30,回收宝,电子商务,广东,A轮,1亿人民币,成为资本,中信资本,,,
2016.5.30,童办,电子商务,北京,天使轮,数百万人民币,Crystal Stream清流资本,,,,
2016.5.30,米么金服-么么贷,金融,上海,B轮,数千万人民币,顺为基金,曦域资本,,,
2016.5.30,优食管家(水果管家),电子商务,北京,B轮,数千万人民币,投资方未透露,,,,
2016.5.30,花+,电子商务,上海,A轮,7000万人民币,联创永宣,光合创投(光合基金),远镜创投,和盟创投,国灏创投
2016.5.30,抢先拍,金融,浙江,Pre-A轮,未透露,MFund魔量基金,,,,
2016.5.29,医泰天下,医疗健康,广东,天使轮,数百万人民币,松禾资本,,,,
2016.5.29,育儿问一问,医疗健康,江苏,Pre-A轮,1000万人民币,泽清资本,立诚创投,,,
2016.5.28,占心,文化娱乐,广东,天使轮,数百万人民币,投资方未透露,,,,
2016.5.28,助家生活,本地生活,浙江,Pre-A轮,3000万人民币,投资方未透露,,,,
2016.5.28,博德嘉联医生集团,医疗健康,广东,天使轮,数千万人民币,松禾资本,,,,
2016.5.28,暴基枪手,文化娱乐,浙江,天使轮,数百万人民币,中科招商,集结号资本,,,
2016.5.28,慢客旅行,旅游,湖北,天使轮,数百万人民币,投资方未透露,,,,
2016.5.27,八阿哥bugclose,企业服务,北京,天使轮,数百万人民币,BWVC泽厚资本,,,,
2016.5.27,99广场舞,文化娱乐,北京,天使轮,数百万人民币,梅花天使创投,,,,
2016.5.27,柚紫养车,汽车交通,上海,天使轮,2000万人民币,盛山资本,,,,
2016.5.27,典典养车-养车点点,汽车交通,浙江,D轮,数千万美元,Egarden Ventres,,,,
2016.5.27,暴雪金融,金融,上海,Pre-A轮,数千万人民币,中科国嘉,,,,
2016.5.26,FlowerPlus花+,电子商务,上海,A轮,7000万人民币,联创永宣,光合创投(光合基金),远镜创投,国灏创投,
2016.5.26,快红包,企业服务,北京,天使轮,200万人民币,金种子创投,唐希勇,,,
2016.5.26,快捷快递,物流,上海,A轮,2.5亿人民币,上海精熠投资中心,上海德锌股权投资基金管理合伙企业,上海达顺创业投资中心,,
2016.5.26,城市传奇,体育运动,北京,Pre-A轮,数千万人民币,联想之星,起源资本,原子创投,黑蝶资本,
2016.5.26,11Space,企业服务,北京,Pre-A轮,数百万人民币,清科创投,,,,
2016.5.26,360好药,医疗健康,广东,A轮,1亿人民币,礼来亚洲基金,软银中国,,,
2016.5.26,墨品定制,文化娱乐,北京,天使轮,500万人民币,投资方未透露,,,,
2016.5.26,租租车,汽车交通,广东,B轮,数千万美元,投资方未透露,,,,
2016.5.26,世界玖玖,旅游,北京,B轮,数千万人民币,思科瑞新资本(思科资本),,,,
2016.5.26,悟空保,金融,北京,Pre-A轮,1亿人民币,凤凰祥瑞,风云资本,,,
